Id,ActivityHour,StepTotal,Calories,TotalIntensity,AverageIntensity,Hour
1503960366,2016-04-12 00:00:00,373,81,20,0.333333,0
1503960366,2016-04-12 01:00:00,160,61,8,0.133333,1
1503960366,2016-04-12 02:00:00,151,59,7,0.116667,2
1503960366,2016-04-12 03:00:00,0,47,0,0.0,3
1503960366,2016-04-12 04:00:00,0,48,0,0.0,4
1503960366,2016-04-12 05:00:00,0,48,0,0.0,5
1503960366,2016-04-12 06:00:00,0,48,0,0.0,6
1503960366,2016-04-12 07:00:00,0,47,0,0.0,7
1503960366,2016-04-12 08:00:00,250,68,13,0.216667,8
1503960366,2016-04-12 09:00:00,1864,141,30,0.5,9
1503960366,2016-04-12 10:00:00,676,99,29,0.483333,10
1503960366,2016-04-12 11:00:00,360,76,12,0.2,11
1503960366,2016-04-12 12:00:00,253,73,11,0.183333,12
1503960366,2016-04-12 13:00:00,221,66,6,0.1,13
1503960366,2016-04-12 14:00:00,1166,110,36,0.6,14
1503960366,2016-04-12 15:00:00,2063,151,58,0.966667,15
1503960366,2016-04-12 16:00:00,344,76,13,0.216667,16
1503960366,2016-04-12 17:00:00,489,83,16,0.266667,17
1503960366,2016-04-12 18:00:00,1386,124,29,0.483333,18
1503960366,2016-04-12 19:00:00,558,104,39,0.65,19
1503960366,2016-04-12 20:00:00,1733,132,41,0.683333,20
1503960366,2016-04-12 21:00:00,684,100,31,0.516667,21
1503960366,2016-04-12 22:00:00,89,65,9,0.15,22
1503960366,2016-04-12 23:00:00,338,81,21,0.35,23
1503960366,2016-04-13 00:00:00,144,69,14,0.233333,0
1503960366,2016-04-13 01:00:00,0,48,0,0.0,1
1503960366,2016-04-13 02:00:00,0,47,0,0.0,2
1503960366,2016-04-13 03:00:00,36,53,4,0.066667,3
1503960366,2016-04-13 04:00:00,0,47,0,0.0,4
1503960366,2016-04-13 05:00:00,0,47,0,0.0,5
1503960366,2016-04-13 06:00:00,0,48,0,0.0,6
1503960366,2016-04-13 07:00:00,126,59,8,0.133333,7
1503960366,2016-04-13 08:00:00,275,69,12,0.2,8
1503960366,2016-04-13 09:00:00,1679,136,27,0.45,9
1503960366,2016-04-13 10:00:00,295,77,15,0.25,10
1503960366,2016-04-13 11:00:00,524,84,16,0.266667,11
1503960366,2016-04-13 12:00:00,486,82,15,0.25,12
1503960366,2016-04-13 13:00:00,302,72,10,0.166667,13
1503960366,2016-04-13 14:00:00,1577,128,46,0.766667,14
1503960366,2016-04-13 15:00:00,493,79,13,0.216667,15
1503960366,2016-04-13 16:00:00,299,71,10,0.166667,16
